Serial No,Name,Student ID,Date of Incident,Place of Incident,Program/Course,Term,Incident Category,Status,Email
391,Sandra Kumar,500174305,2021-02-26,In Class,Business Sales and Marketing,3,Inquiry,Not Relevant Complaint,sandra.kumar@loyalistcollege.com
392,Heather Herring,500417373,2022-06-04,Applied Industry Project,Business,4,Inquiry,Not Resolved,heather.herring@loyalistcollege.com
393,Jennifer Mendez,500522753,2023-08-24,Applied Industry Project,Computer Software and Database Development,4,Inquiry,Resolved,jennifer.mendez@loyalistcollege.com
394,Crystal Smith,500976147,2021-09-07,On Co-op/Placement,Computer Systems Technician,1,Inquiry,Resolved,crystal.smith@loyalistcollege.com
395,Teresa Frazier,500444478,2022-12-29,Applied Industry Project,Business Sales and Marketing,2,Suggestion/ Feedback,In Progress,teresa.frazier@loyalistcollege.com
396,Crystal Sharma,500413760,2022-08-30,In Class,Computer Systems Technician,2,Inquiry,Not Resolved,crystal.sharma@loyalistcollege.com
397,Kathleen Simon,500534867,2021-10-19,On Co-op/Placement,Artificial Intelligence and Data Science,1,Inquiry,In Progress,kathleen.simon@loyalistcollege.com
398,Steven Hill,500213929,2022-10-02,On Campus,Cyber Security,1,Suggestion/ Feedback,Not Relevant Complaint,steven.hill@loyalistcollege.com
399,Tammy Miller,500204228,2023-02-10,On Campus,Business Sales and Marketing,2,Lost and Found,In Progress,tammy.miller@loyalistcollege.com
400,Patrick Cole,500688072,2021-10-26,In Class,Wireless Information Networking,1,Inquiry,In Progress,patrick.cole@loyalistcollege.com
401,William Sharma,500604545,2021-09-18,Off Campus,Cyber Security,3,Inquiry,Not Resolved,william.sharma@loyalistcollege.com
402,Michele Rubio,500597029,2022-08-31,Applied Industry Project,Supply Chain Management,2,Other,In Progress,michele.rubio@loyalistcollege.com
403,Thomas Reilly,500453454,2021-03-15,Applied Industry Project,Hospitality Management,4,Inquiry,In Progress,thomas.reilly@loyalistcollege.com
404,Teresa King,500981693,2022-06-11,On Co-op/Placement,Business Sales and Marketing,1,Inquiry,Not Relevant Complaint,teresa.king@loyalistcollege.com
405,Patricia Lynch,500936631,2023-03-21,On Campus,Wireless Information Networking,1,Inquiry,Not Relevant Complaint,patricia.lynch@loyalistcollege.com
406,Christopher Singh,500951788,2021-10-19,On Co-op/Placement,Business,1,Inquiry,Not Resolved,christopher.singh@loyalistcollege.com
407,Adam King,500460344,2022-05-25,On Co-op/Placement,Global Business Management,1,Inquiry,Resolved,adam.king@loyalistcollege.com
408,Jasmine Rowe,500230364,2021-10-12,Moodle / E- Learning,Quality Engineering Management,3,Suggestion/ Feedback,Resolved,jasmine.rowe@loyalistcollege.com
409,Jean Beard,500602358,2023-03-18,On Campus,Business,4,Lost and Found,Not Relevant Complaint,jean.beard@loyalistcollege.com
410,John Gallegos,500221643,2023-04-24,On Co-op/Placement,Quality Engineering Management,3,Other,Resolved,john.gallegos@loyalistcollege.com
411,David Sharma,500833578,2023-07-13,In Class,Supply Chain Management,1,Inquiry,Resolved,david.sharma@loyalistcollege.com
412,Erin Johnson,500621912,2023-06-25,Off Campus,Global Project Management,4,Lost and Found,Not Resolved,erin.johnson@loyalistcollege.com
413,Joseph Williams,500547254,2022-11-06,Moodle / E- Learning,Wireless Information Networking,3,Other,Not Resolved,joseph.williams@loyalistcollege.com
414,Hannah Smith,500139661,2021-08-25,On Co-op/Placement,Business Sales and Marketing,3,Inquiry,Not Relevant Complaint,hannah.smith@loyalistcollege.com
415,Brian Fernandez,500416568,2023-08-18,Off Campus,Quality Engineering Management,4,Other,Resolved,brian.fernandez@loyalistcollege.com
416,Bradley Singh,500451358,2023-02-06,Moodle / E- Learning,Quality Engineering Management,2,Other,Not Resolved,bradley.singh@loyalistcollege.com
417,Sarah Landry,500870442,2023-06-06,Applied Industry Project,Artificial Intelligence and Data Science,2,Inquiry,In Progress,sarah.landry@loyalistcollege.com
418,Taylor Joyce,500820487,2021-11-28,Applied Industry Project,Cloud Computing,1,Other,In Progress,taylor.joyce@loyalistcollege.com
419,Denise Lambert,500263225,2023-07-19,Off Campus,Computer Software and Database Development,2,Other,Not Relevant Complaint,denise.lambert@loyalistcollege.com
420,Jennifer Torres,500274646,2022-11-17,Applied Industry Project,Cyber Security,1,Lost and Found,In Progress,jennifer.torres@loyalistcollege.com
421,Brian Kumar,500757186,2021-02-21,On Co-op/Placement,Wireless Information Networking,2,Inquiry,Not Resolved,brian.kumar@loyalistcollege.com
422,Cesar Castillo,500691907,2022-01-13,Moodle / E- Learning,Wireless Information Networking,4,Lost and Found,Not Relevant Complaint,cesar.castillo@loyalistcollege.com
423,Pamela Williams,500493815,2023-01-28,On Campus,Global Business Management,2,Lost and Found,Resolved,pamela.williams@loyalistcollege.com
424,Amanda Peters,500945276,2023-07-28,On Campus,Artificial Intelligence and Data Science,4,Lost and Found,In Progress,amanda.peters@loyalistcollege.com
425,Lynn Herring,500769912,2022-05-09,In Class,Supply Chain Management,4,Lost and Found,Resolved,lynn.herring@loyalistcollege.com
426,Melvin Gupta,500191144,2023-05-14,Moodle / E- Learning,Artificial Intelligence and Data Science,3,Inquiry,In Progress,melvin.gupta@loyalistcollege.com
427,Angela Castro,500169032,2021-11-02,In Class,Global Project Management,1,Other,Not Resolved,angela.castro@loyalistcollege.com
428,Christina Green,500947010,2021-01-01,Off Campus,Business,2,Other,Resolved,christina.green@loyalistcollege.com
429,Dawn Green,500188782,2021-03-09,Off Campus,Computer Software and Database Development,4,Suggestion/ Feedback,Resolved,dawn.green@loyalistcollege.com
430,Yvette Moore,500307660,2021-04-07,On Co-op/Placement,Cloud Computing,2,Other,Not Resolved,yvette.moore@loyalistcollege.com
431,Rachel Patel,500886295,2021-07-28,Off Campus,Supply Chain Management,4,Suggestion/ Feedback,Resolved,rachel.patel@loyalistcollege.com
432,Amanda Richards,500331796,2022-01-13,On Campus,Business Sales and Marketing,1,Other,In Progress,amanda.richards@loyalistcollege.com
433,Amanda Todd,500164126,2022-11-20,On Co-op/Placement,Global Project Management,4,Suggestion/ Feedback,In Progress,amanda.todd@loyalistcollege.com
434,Andrea Wong,500503504,2023-08-06,Moodle / E- Learning,Computer Systems Technician,1,Lost and Found,Resolved,andrea.wong@loyalistcollege.com
435,David Ellis,500108232,2021-12-14,Applied Industry Project,Hospitality Management,4,Inquiry,Not Relevant Complaint,david.ellis@loyalistcollege.com
436,Erik Patel,500202840,2021-06-19,Applied Industry Project,Computer Software and Database Development,3,Inquiry,Not Relevant Complaint,erik.patel@loyalistcollege.com
437,Matthew Alvarez,500512937,2023-03-13,Moodle / E- Learning,Business Sales and Marketing,2,Inquiry,Not Relevant Complaint,matthew.alvarez@loyalistcollege.com
438,Kimberly Hoover,500683505,2022-10-24,Off Campus,Wireless Information Networking,4,Lost and Found,Not Resolved,kimberly.hoover@loyalistcollege.com
439,Robert Miller,500644214,2022-03-21,Moodle / E- Learning,Cyber Security,1,Lost and Found,In Progress,robert.miller@loyalistcollege.com
440,Harold Hayes,500403899,2022-06-10,Off Campus,Global Business Management,4,Lost and Found,Not Relevant Complaint,harold.hayes@loyalistcollege.com
441,Martha Reddy,500570332,2023-02-06,On Campus,Computer Software and Database Development,1,Other,Not Resolved,martha.reddy@loyalistcollege.com
442,Victoria Hensley,500612353,2021-10-26,Off Campus,Cloud Computing,3,Inquiry,Resolved,victoria.hensley@loyalistcollege.com
443,Evan Johnson,500926580,2021-09-11,Off Campus,Cyber Security,4,Other,In Progress,evan.johnson@loyalistcollege.com
444,Alicia Blackwell,500713300,2022-08-02,Moodle / E- Learning,Global Project Management,4,Inquiry,In Progress,alicia.blackwell@loyalistcollege.com
445,Jason Brown,500849109,2023-05-16,On Co-op/Placement,Global Business Management,4,Suggestion/ Feedback,Not Relevant Complaint,jason.brown@loyalistcollege.com
446,Larry Kumar,500812300,2022-07-08,Applied Industry Project,Artificial Intelligence and Data Science,3,Lost and Found,Resolved,larry.kumar@loyalistcollege.com
447,Anthony Saunders,500327806,2022-11-12,Off Campus,Cloud Computing,2,Inquiry,In Progress,anthony.saunders@loyalistcollege.com
448,Heather Conley,500543587,2022-08-31,Moodle / E- Learning,Hospitality Management,2,Suggestion/ Feedback,In Progress,heather.conley@loyalistcollege.com
449,Anthony Kelly,500187727,2022-11-13,In Class,Cloud Computing,3,Suggestion/ Feedback,Not Relevant Complaint,anthony.kelly@loyalistcollege.com
450,Nicole Chambers,500486223,2022-05-09,Off Campus,Hospitality Management,2,Suggestion/ Feedback,Resolved,nicole.chambers@loyalistcollege.com
451,Anna Gupta,500330831,2022-12-29,Applied Industry Project,Global Project Management,3,Suggestion/ Feedback,In Progress,anna.gupta@loyalistcollege.com
452,Jennifer Johnson,500373590,2021-04-15,On Campus,Artificial Intelligence and Data Science,2,Suggestion/ Feedback,Not Resolved,jennifer.johnson@loyalistcollege.com
453,Cheryl Hughes,500713656,2021-08-16,Moodle / E- Learning,Cyber Security,4,Inquiry,In Progress,cheryl.hughes@loyalistcollege.com
454,Caleb Bell,500914848,2021-12-08,Off Campus,Hospitality Management,1,Lost and Found,In Progress,caleb.bell@loyalistcollege.com
455,Luis Valdez,500274672,2021-06-26,In Class,Quality Engineering Management,1,Other,Not Relevant Complaint,luis.valdez@loyalistcollege.com
456,Alexander Patel,500552168,2021-08-30,On Co-op/Placement,Hospitality Management,4,Inquiry,Not Relevant Complaint,alexander.patel@loyalistcollege.com
457,Julian Savage,500301268,2022-09-05,On Campus,Cloud Computing,4,Other,In Progress,julian.savage@loyalistcollege.com
458,Bobby Williams PhD,500475935,2022-12-22,In Class,Supply Chain Management,4,Suggestion/ Feedback,Not Resolved,bobby.williams.phd@loyalistcollege.com
459,Shannon Baker,500220599,2023-04-20,Applied Industry Project,Artificial Intelligence and Data Science,1,Other,Resolved,shannon.baker@loyalistcollege.com
460,Anna Serrano,500166959,2021-11-23,Off Campus,Global Project Management,3,Suggestion/ Feedback,Not Relevant Complaint,anna.serrano@loyalistcollege.com
461,Matthew Reddy,500961909,2022-07-26,Off Campus,Global Business Management,4,Other,Not Resolved,matthew.reddy@loyalistcollege.com
462,Kaitlin Johnson,500994287,2021-03-14,In Class,Wireless Information Networking,2,Inquiry,Resolved,kaitlin.johnson@loyalistcollege.com
463,Lori Mitchell,500836104,2021-02-03,On Co-op/Placement,Business,1,Other,Not Resolved,lori.mitchell@loyalistcollege.com
464,James Moore,500128960,2022-09-23,In Class,Global Business Management,3,Suggestion/ Feedback,Not Resolved,james.moore@loyalistcollege.com
465,Bridget Thompson,500651357,2021-11-19,Moodle / E- Learning,Computer Software and Database Development,2,Suggestion/ Feedback,Not Relevant Complaint,bridget.thompson@loyalistcollege.com
466,Samantha Kumar,500573549,2021-05-17,In Class,Global Project Management,3,Suggestion/ Feedback,In Progress,samantha.kumar@loyalistcollege.com
467,Dana Koch,500888988,2022-10-03,Moodle / E- Learning,Artificial Intelligence and Data Science,1,Other,Not Resolved,dana.koch@loyalistcollege.com
468,Theresa Webb,500809803,2023-06-29,Moodle / E- Learning,Artificial Intelligence and Data Science,2,Other,Not Resolved,theresa.webb@loyalistcollege.com
469,Meghan Williams,500311485,2023-06-04,Moodle / E- Learning,Cloud Computing,1,Other,Not Resolved,meghan.williams@loyalistcollege.com
470,Douglas Jackson,500224686,2022-10-02,Off Campus,Wireless Information Networking,2,Suggestion/ Feedback,Not Relevant Complaint,douglas.jackson@loyalistcollege.com
471,John Reddy,500621233,2023-04-21,In Class,Artificial Intelligence and Data Science,2,Inquiry,Resolved,john.reddy@loyalistcollege.com
472,Shawn Ford,500517284,2021-11-23,Applied Industry Project,Cloud Computing,1,Inquiry,Resolved,shawn.ford@loyalistcollege.com
473,Brenda Cunningham,500368938,2021-01-07,In Class,Supply Chain Management,1,Other,Not Relevant Complaint,brenda.cunningham@loyalistcollege.com
474,Timothy Smith,500317298,2021-07-31,In Class,Supply Chain Management,4,Inquiry,In Progress,timothy.smith@loyalistcollege.com
475,Robert Cooke,500772134,2023-04-05,On Co-op/Placement,Quality Engineering Management,4,Suggestion/ Feedback,In Progress,robert.cooke@loyalistcollege.com
476,Andrew Kaur,500144146,2023-01-31,In Class,Wireless Information Networking,1,Inquiry,Not Resolved,andrew.kaur@loyalistcollege.com
477,Katrina Johnson,500936169,2022-04-25,Applied Industry Project,Cyber Security,4,Inquiry,In Progress,katrina.johnson@loyalistcollege.com
478,Ashley Carr,500326381,2022-08-14,Moodle / E- Learning,Cloud Computing,3,Other,Not Relevant Complaint,ashley.carr@loyalistcollege.com
479,Megan James,500753698,2023-04-25,Moodle / E- Learning,Supply Chain Management,3,Suggestion/ Feedback,In Progress,megan.james@loyalistcollege.com
480,Jeffrey Mcintyre,500253463,2023-04-15,Applied Industry Project,Cyber Security,1,Suggestion/ Feedback,Not Resolved,jeffrey.mcintyre@loyalistcollege.com
481,Mason Patel,500209712,2021-04-13,Moodle / E- Learning,Computer Systems Technician,1,Other,In Progress,mason.patel@loyalistcollege.com
482,Chad Dixon,500307586,2021-05-02,On Campus,Cyber Security,2,Suggestion/ Feedback,In Progress,chad.dixon@loyalistcollege.com
483,Angel Russell,500580675,2023-07-29,On Campus,Hospitality Management,2,Other,In Progress,angel.russell@loyalistcollege.com
484,Tracy Reynolds,500496395,2023-02-05,On Co-op/Placement,Hospitality Management,4,Lost and Found,In Progress,tracy.reynolds@loyalistcollege.com
485,John Walker,500479209,2021-01-24,Applied Industry Project,Computer Software and Database Development,3,Inquiry,In Progress,john.walker@loyalistcollege.com
486,Ralph Kumar,500672932,2021-11-13,On Campus,Global Business Management,3,Suggestion/ Feedback,Not Resolved,ralph.kumar@loyalistcollege.com
487,Jennifer Perkins,500967158,2022-10-14,In Class,Cloud Computing,2,Other,Not Resolved,jennifer.perkins@loyalistcollege.com
488,Yolanda Dyer,500258685,2023-08-17,Off Campus,Computer Systems Technician,1,Lost and Found,Resolved,yolanda.dyer@loyalistcollege.com
489,Alex Carr,500209834,2022-07-14,Off Campus,Business,4,Lost and Found,Not Resolved,alex.carr@loyalistcollege.com
490,David Williams,500725203,2022-04-30,Moodle / E- Learning,Quality Engineering Management,3,Inquiry,Resolved,david.williams@loyalistcollege.com
491,Marc Reddy,500611601,2021-05-11,Applied Industry Project,Computer Software and Database Development,3,Lost and Found,Not Relevant Complaint,marc.reddy@loyalistcollege.com
492,Tracey Rodriguez,500255610,2021-02-06,Off Campus,Cyber Security,1,Suggestion/ Feedback,Resolved,tracey.rodriguez@loyalistcollege.com
493,Amber Reeves,500691296,2022-01-07,On Campus,Computer Systems Technician,1,Lost and Found,Not Relevant Complaint,amber.reeves@loyalistcollege.com
494,Jason Berg,500525624,2023-08-12,Applied Industry Project,Quality Engineering Management,3,Inquiry,Not Resolved,jason.berg@loyalistcollege.com
495,Tim Reeves,500769372,2021-02-13,Off Campus,Supply Chain Management,4,Inquiry,Not Resolved,tim.reeves@loyalistcollege.com
496,Cassandra Singh,500812957,2023-07-03,Moodle / E- Learning,Wireless Information Networking,2,Inquiry,In Progress,cassandra.singh@loyalistcollege.com
497,Gilbert Jenkins,500543798,2023-03-08,Moodle / E- Learning,Hospitality Management,3,Suggestion/ Feedback,Not Relevant Complaint,gilbert.jenkins@loyalistcollege.com
498,Whitney Campbell,500646547,2022-07-25,Off Campus,Supply Chain Management,4,Suggestion/ Feedback,Not Resolved,whitney.campbell@loyalistcollege.com
499,Taylor Reed,500619470,2021-08-27,On Campus,Computer Software and Database Development,2,Lost and Found,Resolved,taylor.reed@loyalistcollege.com
500,Pamela Mccoy,500812316,2022-12-25,Off Campus,Business Sales and Marketing,2,Lost and Found,Resolved,pamela.mccoy@loyalistcollege.com
